Question, Option A, Option B, Option C, Option D, Correct Answer,Language,category,difficulty,relation
What is the Russian word for  hello ?, Привет, Добрый день, Спасибо, Пожалуйста, Привет,Russian,Vocabulary,Easy,Greetings
How do you say  thank you  in Russian?, Пока, Да, Спасибо, Извините, Спасибо,Russian,Vocabulary,Easy,Politeness
Which of the following means  goodbye  in Russian?, Здравствуйте, До свидания, Как дела?, Что это?, До свидания,Russian,Vocabulary,Easy,Partings
Translate  yes  into Russian., Нет, Да, Пожалуйста, Спасибо, Да,Russian,Vocabulary,Easy,Confirmation
What is the Russian word for  good morning ?, Доброе утро, Добрый вечер, Добрый день, Спасибо, Доброе утро,Russian,Vocabulary,Easy,Greetings
How would you say  I'm fine  in Russian?, Хорошо, Плохо, Простите, Спасибо, Хорошо,Russian,Vocabulary,Easy,Feelings
Translate  cat  into Russian., Собака, Кошка, Птица, Лошадь, Кошка,Russian,Vocabulary,Easy,Animals
What does  пожалуйста  mean in English?, Please, Thank you, Yes, No, Please,Russian,Vocabulary,Easy,Politeness
How do you say  no  in Russian?, Да, Нет, Здравствуйте, Пока, Нет,Russian,Vocabulary,Easy,Negation
What is the Russian word for  apple ?, Банан, Яблоко, Груша, Апельсин, Яблоко,Russian,Vocabulary,Easy,Food
Translate  book  into Russian., Стол, Книга, Стул, Кошка, Книга,Russian,Vocabulary,Easy,Objects
What is the Russian word for  where ?, Когда, Кто, Где, Что, Где,Russian,Vocabulary,Easy,Location
Translate  dog  into Russian., Кошка, Собака, Птица, Лошадь, Собака,Russian,Vocabulary,Easy,Animals
How do you say  please  in Russian?, Пожалуйста, Спасибо, Да, Нет, Пожалуйста,Russian,Vocabulary,Easy,Politeness
What is the Russian word for  water ?, Чай, Молоко, Вода, Сок, Вода,Russian,Vocabulary,Easy,Elements
Translate  table  into Russian., Стол, Стул, Кровать, Книга, Стол,Russian,Vocabulary,Easy,Furniture
What does  спасибо  mean in English?, Goodbye, Hello, Thank you, Please, Thank you,Russian,Vocabulary,Easy,Politeness
How would you say  excuse me  in Russian?, Извините, Привет, Пожалуйста, Да, Извините,Russian,Vocabulary,Easy,Politeness
Translate  today  into Russian., Завтра, Вчера, Сегодня, Зима, Сегодня,Russian,Vocabulary,Easy,Time
What is the Russian word for banana?, Яблоко, Молоко, Банан, Апельсин, Банан,Russian,Vocabulary,Easy,Food
Translate mother into Russian., Мать, Отец, Сестра, Брат, Мать,Russian,Vocabulary,Easy,Family
How do you say one in Russian?, Два, Три, Один, Четыре, Один,Russian,Vocabulary,Easy,Numbers
What is the Russian word for father?, Брат, Мать, Отец, Сестра, Отец,Russian,Vocabulary,Easy,Family
Translate hello into Russian., Привет, Пока, Добрый день, Спасибо, Привет,Russian,Vocabulary,Easy,Greetings
What does спокойной ночи mean in English?, Good morning, Goodbye, Good night, Thank you, Good night,Russian,Vocabulary,Easy,Wishes
How would you say I need help in Russian?, Мне нужна помощь, Я хочу есть, Спасибо большое, Как дела, Мне нужна помощь,Russian,Vocabulary,Easy,Assistance
What is the Russian word for table?, Стол, Стул, Кровать, Книга, Стол,Russian,Vocabulary,Easy,Furniture
Translate sun into Russian., Дождь, Солнце, Снег, Ветер, Солнце,Russian,Vocabulary,Easy,Nature
How do you say good evening in Russian?, Добрый день, Добрый вечер, Спокойной ночи, Пока, Добрый вечер,Russian,Vocabulary,Easy,Greetings
What is the Russian word for milk?, Вода, Сок, Молоко, Чай, Молоко,Russian,Vocabulary,Easy,Food
Translate train into Russian., Самолет, Поезд, Автомобиль, Корабль, Поезд,Russian,Vocabulary,Easy,Transport
What does до свидания mean in English?, Goodbye, Hello, Thank you, Please, Goodbye,Russian,Vocabulary,Easy,Partings
How would you say I am hungry in Russian?, У меня есть голод, Я устал, Я грустный, У меня есть жажда, Я голоден,Russian,Vocabulary,Easy,Feelings
What is the Russian word for car?, Самолет, Поезд, Автомобил, Корабль, Автомобил,Russian,Vocabulary,Easy,Transport
Translate orange into Russian., Красный, Синий, Желтый, Оранжевый, Оранжевый,Russian,Vocabulary,Easy,Colors
What is the Russian word for moon?, Звезда, Солнце, Луна, Планета, Луна,Russian,Vocabulary,Easy,Nature
How do you say beautiful in Russian?, Умный, Красивый, Добрый, Сильный, Красивый,Russian,Vocabulary,Easy,Appearance
What does как дела mean in English?, How are you?, Thank you, Goodbye, Please, How are you?,Russian,Vocabulary,Easy,Greetings
Translate watermelon into Russian., Арбуз, Мандарин, Яблоко, Груша, Арбуз,Russian,Vocabulary,Easy,Food
What is the Russian word for woman?, Женщина, Мужчина, Ребенок, Собака, Женщина,Russian,Vocabulary,Easy,People
Translate sky into Russian., Земля, Небо, Вода, Огонь, Небо,Russian,Vocabulary,Easy,Nature
How would you say I am cold in Russian?, Мне жарко, Мне холодно, Я рад, Я голоден, Мне холодно,Russian,Vocabulary,Easy,Feelings
What is the Russian word for color?, Книга, Цвет, Стол, Часы, Цвет,Russian,Vocabulary,Easy,Concepts
Translate tree into Russian., Дом, Поле, Лес, Дерево, Дерево,Russian,Vocabulary,Easy,Nature
What does здравствуйте mean in English?, Thank you, Hello, Goodbye, Please, Hello,Russian,Vocabulary,Easy,Greetings
How do you say three in Russian?, Один, Два, Три, Четыре, Три,Russian,Vocabulary,Easy,Numbers
What is the Russian word for school?, Дом, Кино, Школа, Работа, Школа,Russian,Vocabulary,Easy,Education
Translate apple into Russian., Банан, Яблоко, Мандарин, Груша, Яблоко,Russian,Vocabulary,Easy,Food
What is the Russian word for city?, Деревня, Город, Страна, Дом, Город,Russian,Vocabulary,Easy,Places
Translate chair into Russian., Стол, Кровать, Кресло, Стул, Стул,Russian,Vocabulary,Easy,Furniture
What does спасибо большое mean in English?, Thank you very much, Good night, Goodbye, Please, Thank you very much,Russian,Vocabulary,Easy,Politeness
How would you say I want to sleep in Russian?, У меня есть жажда, Я голоден, Хочу спать, Я счастлив, Хочу спать,Russian,Vocabulary,Easy,Actions
What is the Russian word for summer?, Осень, Зима, Лето, Весна, Лето,Russian,Vocabulary,Easy,Seasons
Translate book into Russian., Книга, Подушка, Кошка, Стол, Книга,Russian,Vocabulary,Easy,Objects
What is the Russian word for money?, Счастье, Деньги, Здоровье, Любовь, Деньги,Russian,Vocabulary,Easy,Finance
Translate bird into Russian., Рыба, Собака, Птица, Кошка, Птица,Russian,Vocabulary,Easy,Animals
How do you say city in Russian?, Деревня, Город, Дом, Поле, Город,Russian,Vocabulary,Easy,Places
What does ты говоришь по-русски? mean in English?, Do you speak English?, Do you speak Russian?, How are you?, Thank you, Do you speak Russian?,Russian,Vocabulary,Easy,Language
Translate morning into Russian., Утро, День, Вечер, Ночь, Утро,Russian,Vocabulary,Easy,Time
What is the Russian word for cat?, Собака, Кошка, Птица, Лошадь, Кошка,Russian,Vocabulary,Easy,Animals
Translate dog into Russian., Кошка, Собака, Птица, Лошадь, Собака,Russian,Vocabulary,Easy,Animals
What is the Russian word for city?, Деревня, Город, Страна, Дом, Город,Russian,Vocabulary,Easy,Places
Translate car into Russian., Самолет, Поезд, Автомобиль, Корабль, Автомобиль,Russian,Vocabulary,Easy,Objects
What is the Russian word for color?, Книга, Цвет, Стол, Часы, Цвет,Russian,Vocabulary,Easy,Attributes
What does бессмысленный mean in English?, Meaningless, Sensible, Exciting, Joyful, Meaningless,Russian,Vocabulary,Easy,Adjectives
Translate achievement into Russian., Достижение, Победа, Успех, Прогресс, Достижение,Russian,Vocabulary,Easy,Success
What is the Russian word for disappointed?, Разочарованный, Завидующий, Довольный, Обаятельный, Разочарованный,Russian,Vocabulary,Easy,Emotions
Translate misunderstanding into Russian., Недопонимание, Конфликт, Раздор, Возражение, Недопонимание,Russian,Vocabulary,Easy,Communication
What does кропотливый mean in English?, Meticulous, Lazy, Careless, Happy, Meticulous,Russian,Vocabulary,Easy,Adjectives
Translate discipline into Russian., Дисциплина, Отпуск, Ответ, Отпор, Дисциплина,Russian,Vocabulary,Easy,Characteristics
